,link,name,rating,address,services,payment,atmosphere,spoken_lang
106,https://eatigo.com/sg/singapore/en/r/harry-s-clarke-quay-2968,Harry's @ Clarke Quay,4.3 Stars,['3D River Valley Road #01-01 Singapore 179023'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
107,https://eatigo.com/sg/singapore/en/r/harry-s-dempsey-2970,Harry's @ Dempsey,4.4 Stars,['Blk 11 Dempsey Road #01-17A Singapore 249673'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
108,https://eatigo.com/sg/singapore/en/r/harry-s-esplanade-2971,Harry's @ Esplanade,4.3 Stars,['8 Raffles Avenue #01-05/07 Singapore 039802'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
109,https://eatigo.com/sg/singapore/en/r/harry-s-harbourfront-2972,Harry's @ HarbourFront,4.3 Stars,['1 Maritime Square #01-64 HarbourFront Centre Singapore 099253'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
110,https://eatigo.com/sg/singapore/en/r/harry-s-holland-village-2973,Harry's @ Holland Village,4.5 Stars,['22 Lorong Mambong Singapore 277681'],['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
111,https://eatigo.com/sg/singapore/en/r/harry-s-marina-bay-link-mall-2956,Harry's @ Marina Bay Link Mall,4.6 Stars,['8A Marina Boulevard #01-03 Ground Plaza Singapore 018984'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
112,https://eatigo.com/sg/singapore/en/r/harry-s-novena-2964,Harry's @ Novena,4.3 Stars,['238 Thomson Road #01-59/60 Novena Square Singapore 307683'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'Al Fresco']",['English']
113,https://eatigo.com/sg/singapore/en/r/harry-s-resorts-world-sentosa-5007030,Harry's @ Resorts World Sentosa,4.1 Stars,"['26 Sentosa Gateway #01-215/216, Resorts World Sentosa, Singapore 098138 ']","['Accept Credit Cards', 'parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['American Express', 'Master Card', 'Visa', 'NETS']","['Business Meetings', 'Pub / Beer garden / Sportsbar', 'After Work Drinks', 'Family Friendly', 'Lively']","['English', 'Chinese']"
114,https://eatigo.com/sg/singapore/en/r/harry-s-riverside-point-2958,Harry's @ Riverside Point,4.3 Stars,['30 Merchant Road #01-04 Singapore 058282'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
115,https://eatigo.com/sg/singapore/en/r/harry-s-south-beach-2959,Harry's @ South Beach,4.4 Stars,['26 Beach Road #01-18 Singapore 189768'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
116,https://eatigo.com/sg/singapore/en/r/harry-s-tai-seng-2961,Harry's @ Tai Seng,4.4 Stars,['18 Tai Seng Street #01-K4/23- 25 Singapore 539775'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'Al Fresco']",['English']
117,https://eatigo.com/sg/singapore/en/r/harry-s-tampines-grande-2960,Harry's @ Tampines Grande,4.5 Stars,['9 Tampines Grande #01-09 Singapore 528735'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
118,https://eatigo.com/sg/singapore/en/r/harry-s-the-quayside-5002870,Harry's @ The Quayside,4.4 Stars,"['60 Robertson Quay, #01-05/06, Singapore 238252']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
119,https://eatigo.com/sg/singapore/en/r/harry-s-village-hotel-changi-2962,Harry's @ Village Hotel Changi,4.4 Stars,['1 Netheravon Road #01-04/05\xa0 Village Hotel Changi Singapore 508502'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'Al Fresco']",['English']
