,link,name,rating,address,services,payment,atmosphere,spoken_lang
129,https://eatigo.com/sg/singapore/en/r/charlie-s-paradiso-5002338,Charlie's Paradiso,4.3 Stars,['32 Boat Quay Singapore 049821'],"['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['After Work Drinks', 'Quiet Dinner', 'Sea View']","['English', 'Chinese']"
130,https://eatigo.com/sg/singapore/en/r/charlie-s-restaurant-bar-1345,Charlie's Restaurant & Bar,4.3 Stars,"['32 Boat Quay, Singapore 049821']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'After Work Drinks', 'Outdoor', 'Family Friendly', 'Large Parties (>12)']",['English']
131,https://eatigo.com/sg/singapore/en/r/chengdu-Cheng-Du--5007445,Chengdu 成都,4 Stars,"['74 Amoy Street, Singapore 069893']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
132,https://eatigo.com/sg/singapore/en/r/chicken-hotpot-bedok-point-2874,Chicken Hotpot @ Bedok Point,4.3 Stars,"['799 New Upper Changi Road, #02-35/36, Bedok Point, Singapore 467351']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
133,https://eatigo.com/sg/singapore/en/r/chicken-hotpot-chinatown-point-2873,Chicken Hotpot @ Chinatown Point,4.2 Stars,"['133 New Bridge Road, #01-44 Chinatown Point, Singapore 059413']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
134,https://eatigo.com/sg/singapore/en/r/chicken-hotpot-compass-one-3216,Chicken Hotpot @ Compass One,4.2 Stars,['1 Sengkang Square #B1-34 Compass One Singapore 545078'],"['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
135,https://eatigo.com/sg/singapore/en/r/chicken-hotpot-novena-square-2-2608,Chicken Hotpot @ Novena Square 2,4.2 Stars,"['10 Sinaran Drive #04- 02A/B/C, Novena Square 2 Singapore 307506']","['Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Malay', 'Chinese']"
136,https://eatigo.com/sg/singapore/en/r/chicken-up-buangkok-2427,Chicken Up @ Buangkok,4.1 Stars,"['Blk 277C Compassvale Link, #01-13, Unit No.2A, Singapore 543277']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']",['English']
137,https://eatigo.com/sg/singapore/en/r/chimi-s-5004331,Chimi's,2.8 Stars,"['1 Marina Boulevard, NTUC Centre, #01-01, Singapore 018989']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'City View', 'Al Fresco']",['English']
138,https://eatigo.com/sg/singapore/en/r/chimichanga-2870,Chimichanga,4.6 Stars,"['36 Dunlop Street, Singapore 209364']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Al Fresco']","['English', 'Malay', 'Tamil', 'Vietnamese', 'Chinese']"
139,https://eatigo.com/sg/singapore/en/r/chong-qing-steamboat-bbq-hotpot-Zhong-Qing-Zheng-Zong-Lao-Huo-Guo--5006599,Chong Qing Steamboat & BBQ Hotpot 重庆正宗老火锅,2 Stars,"['87 Beach Road #01-02 Chye Sing Building, Singapore 189695']","['parking (chargeable)', 'Air Conditioning']",['NETS'],"['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
140,https://eatigo.com/sg/singapore/en/r/chowon-garden-2489,ChoWon Garden,3.2 Stars,"['No. 2 Peck Seah Street, #01-01 Airview Building Singapore 079305']","['Private Dining Area', 'Air Conditioning']","['Cash Only', 'cash only']","['Casual Dining', 'Business Meetings', 'Family Friendly']",['English']
141,https://eatigo.com/sg/singapore/en/r/chuan-hung-the-noodle-place-5006874,Chuan Hung The Noodle Place,4.7 Stars,"['51A Telok Ayer Street, #01-01, Singapore 048441']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
142,https://eatigo.com/sg/singapore/en/r/chuan-shi-dai-steamboat-Chuan-Shi-Dai-Huo-Guo-Chuan-Chuan-Xiang--5002115,Chuan Shi Dai Steamboat 串食代火锅串串香,4.7 Stars,"['Block 350, Jurong East Ave 1, #01-1237']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'Quiet Dinner']",['Chinese (Simplified)']
143,https://eatigo.com/sg/singapore/en/r/clove-swissotel-the-stamford-5003574,Clove @ Swissôtel The Stamford,3.9 Stars,"['2 Stamford Road, Swissotel The Stamford Singapore 178882']","['Scenic View', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)', 'Private Functions', 'Kids Friendly']",['English']
144,https://eatigo.com/sg/singapore/en/r/coca-restaurant-leisure-park-kallang-2734,Coca Restaurant @ Leisure Park Kallang,4.5 Stars,"['5 Stadium Walk, #02-01 Leisure Park Kallang, Singapore 397693']","['parking (chargeable)', 'Private Dining Area', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Private Functions']","['English', 'Chinese']"
145,https://eatigo.com/sg/singapore/en/r/coca-restaurant-ngee-ann-city-2736,Coca Restaurant @ Ngee Ann City,4.3 Stars,"['391 Orchard Road, #04-23 Ngee Ann City, Singapore 238872']","['parking (chargeable)', 'Private Dining Area', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Large Parties (>12)', 'Private Functions']","['English', 'Chinese']"
146,https://eatigo.com/sg/singapore/en/r/coca-restaurant-suntec-city-5001236,Coca Restaurant @ Suntec City,4.4 Stars,"['3 Temasek Boulevard, #02-440 Suntec City Mall, ']","['parking (chargeable)', 'Private Dining Area', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Large Parties (>12)', 'Private Functions']","['English', 'Chinese']"
147,https://eatigo.com/sg/singapore/en/r/coffee-tulip-5007634,Coffee Tulip,4 Stars,"['103 Irrawaddy Road, Royal Square @ Novena, #02-10, Singapore 329566']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']",['English']
148,https://eatigo.com/sg/singapore/en/r/coleman-s-oriental-kitchen-peninsula-excelsior-5007635,Coleman's Oriental Kitchen @ Peninsula Excelsior,4 Stars,"['165 Kitchener Road , Singapore 208532']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Malay', 'Tamil', 'Chinese']"
149,https://eatigo.com/sg/singapore/en/r/coleman-s-cafe-peninsula-excelsior-5005200,Coleman’s Café @ Peninsula Excelsior,3.6 Stars,"['5 Coleman Street, Singapore 179805']","['WiFi', 'Parking', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Malay', 'Tamil', 'Chinese']"
